VILLE_3;CHAT;CHIEN;VILLE;VILLE_2;COORDONNEES;LON;LAT;CODE POSTAL;CODE INSEE
FORMENTIN;21;1;Formentin;formentin;[0.135813686591182, 49.203078741728476];0.135813687;49.20307874;14340;14280
FORMIGNY;0;54;;formigny;[-0.8964175460158831, 49.335846307158285];-0.896417546;49.33584631;14710;14281
FORSTFELD;0;1;Forstfeld;forsfeld;[8.047469303768102, 48.86310788519005];8.047469304;48.86310789;67480;67140
FORT-MAHON-PLAGE;1;1;Fort-Mahon-Plage;fort mahon plage;[1.5770676414977052, 50.34505883509159];1.577067641;50.34505884;80120;80333
FORTEL-EN-ARTOIS;0;43;Fortel-en-Artois;fortel en artois;[2.229827534712461, 50.2579701721773];2.229827535;50.25797017;62270;62346
FOS-SUR-MER;11;7;Fos-sur-Mer;fos sur mer;[4.904521339124062, 43.45568121069189];4.904521339;43.45568121;13270;13039
FOSSE;22;2;Fosse;fosse;[1.277015879553584, 47.630715092349064];1.27701588;47.63071509;41330;41091
FOSSEMANANT;0;23;Fossemanant;fossemanant;[2.190094182697149, 49.80211564074821];2.190094183;49.80211564;80160;80334
FOSSEUSE;0;1;;fosseuse;[2.184508678705917, 49.21481042895951];2.184508679;49.21481043;60540;60246
FOUCARMONT;0;1;Foucarmont;fourcarmont;[1.563809587743802, 49.848253479401926];1.563809588;49.84825348;76340;76278
FOUCAUCOURT-EN-SANTERRE;0;2;Foucaucourt-en-Santerre;foucaucourt en santerre;[2.769754940536858, 49.876683782898134];2.769754941;49.87668378;80340;80335
FOUCAUCOURT-HORS-NESLE;0;31;Foucaucourt-Hors-Nesle;foucaucourt hors nesle;[1.7178248040050281, 49.917584167159525];1.717824804;49.91758417;80140;80336
FOUCHECOURT;1;0;Fouchécourt;fouchecourt;[5.986412384297678, 47.789779295488735];5.986412384;47.7897793;70160;70244
FOUCHERANS;34;0;Foucherans;foucherans;[5.444301005108928, 47.0856433660639];5.444301005;47.08564337;39100;39233
FOUCHERES;0;1;Fouchères;foucheres;[4.270759456906956, 48.148573123589564];4.270759457;48.14857312;10260;10158
